label,wallet,username,status,verdict,notes
mentionmarket,0xc3acf5878a03523d09a3ac859943445d7baeb964,mentionmarket,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (MLB) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $3,059,569 volumen no-cripto/151 trades/74 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
0xf3a1493c,0xf3a1493cf87d23177107b5b3f737f0c586f1bf4b,,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: mixto (sin username) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $165,050 volumen no-cripto/82 trades/60 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Trader27,0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,DLEK,approved,PAPER_ONLY,"DLEK - WATCHLIST, $16.5M sports volume (94.3% share), no bot signal, added 2026-08-01"
Avrtsz,0xf4e144462829dead1a93c6fd23a33560736e34a5,Avrtsz,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (MLB, resto CS2 excluido) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $885,490 volumen no-cripto/150 trades/95 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
CHACHA125655,0xe6bff499390d0988f81967d095925b44aad38380,CHACHA125655,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: mixto (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $119,630 volumen no-cripto/128 trades/86 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Anjun,0x43372356634781eea88d61bbdd7824cdce958882,Anjun,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $891,853 volumen no-cripto/311 trades/214 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
eCash,0x62cf46cd4c3af254dccfc37a7f93de265b4b5826,eCash,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: deportes+geopolitica (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $557,705 volumen no-cripto/472 trades/135 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Trader11,0xf10299cf1fff507cff45e1a906800e5b44bf1348,pjotrekkk,approved,PAPER_ONLY,manual approved
HOG993,0xcbba64cddd05171925ffd05d8f8abd38c83fdbff,HOG993,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $150,995 volumen no-cripto/431 trades/117 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Electricy,0x701187150980c2421bc3c87a74dbdef31d75c6da,Electricy,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: mixto (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $582,539 volumen no-cripto/464 trades/148 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
DirkDiggler67,0xaab9f5e600a5dd88fe3a6f93313b180f6220a08d,DirkDiggler67,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: politica US (elecciones) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $255,553 volumen no-cripto/465 trades/174 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
BobInvestments,0x41816fc1ebdfeb33f6356f2655ab499253b3de86,BobInvestments,approved,PAPER_ONLY,"ampliacion no-cripto 2026-08-16 - categoria real: finanzas (market cap de empresas) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $141,538 volumen no-cripto/492 trades/136 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
casualbet2020,0x65c18d740c8246af3353741c0b32e4b6da552988,casualbet2020,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $213,913 volumen no-cripto/43 trades/38 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
HongYunX,0xc72d7dcdb23597d143a83536fb97b1d7db7efc21,HongYunX,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (futbol) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $2,060,696 volumen no-cripto/369 trades/140 mercados, bot_score 25/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
UnRektCapital,0xdb7513a3c54d579d64ee64c948c85d2f27620252,UnRektCapital,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (UFC/NBA) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $2,708,141 volumen no-cripto/133 trades/40 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
S-Works,0xee00ba338c59557141789b127927a55f5cc5cea1,S-Works,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (resto tras excluir Dota2) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $4,393,303 volumen no-cripto/255 trades/165 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
greyoctober,0xc65ca4755436f82d8eb461e65781584b8cadea39,greyoctober,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (resto tras excluir CS2/Valorant) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $407,430 volumen no-cripto/122 trades/89 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Shori888,0xa36fcb6947c4ac1f09ee894aa1fd0756b90e180b,Shori888,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (futbol) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $451,702 volumen no-cripto/149 trades/61 mercados, bot_score 25/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Trader23,0x224f7ef690d952cf551a471846d5afb4892e514a,WeBuyHighWeSelllow,approved,REJECT,manual approved
gaven-willwin,0xfbe66593e49c4e7a7180a2582f041158bfb800f8,gaven-willwin,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: macro (decisiones de tasas Fed) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $2,202,795 volumen no-cripto/287 trades/32 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
GoldenAlpha168,0x9ba8d25a054044bb66d0ca4e250a16dbfb64cdb3,GoldenAlpha168,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (futbol) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $847,837 volumen no-cripto/148 trades/86 mercados, bot_score 25/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
wwarden,0x6e131d6c61216b4a5ec571db332ad3226e7fa801,wwarden,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $137,694 volumen no-cripto/71 trades/32 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
defillama7,0x4c8cdcdd4c92bf44e74a642254f7414de14de36f,defillama7,approved,REJECT,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $392,552 volumen no-cripto/146 trades/33 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
